fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,73.0,-250.12,-287.27,296.55,-299.39,-299.2,-215.33,-214.55,-299.7,46.0
2019-01-01 01:00:00,73.0,-285.74,-321.62,227.27,-332.42,-332.22,-243.0,-251.4,-333.0,53.5
2019-01-01 02:00:00,73.0,72.8,16.79,850.57,0.57,0.84,148.18,156.58,0.0,1.0
2019-01-01 03:00:00,73.0,73.29,16.42,850.58,0.71,1.08,74.1,79.62,0.0,1.0
2019-01-01 04:00:00,73.0,69.83,16.57,851.05,0.58,0.88,107.23,105.2,0.0,1.0
2019-01-01 05:00:00,73.0,74.79,15.56,851.57,0.4,0.64,145.15,135.78,0.0,1.0
2019-01-01 06:00:00,73.0,76.21,15.18,852.12,0.36,0.55,144.92,145.7,0.0,1.0
2019-01-01 07:00:00,73.0,74.38,15.67,852.49,0.79,1.0,172.1,168.1,0.0,1.0
2019-01-01 08:00:00,73.0,57.37,19.7,852.42,1.0,1.37,192.6,191.6,0.0,1.0
2019-01-01 09:00:00,73.0,43.86,23.7,851.92,0.8,1.3,200.08,191.72,0.0,1.0
2019-01-01 10:00:00,73.0,33.18,26.41,851.08,1.96,2.95,81.2,87.57,0.0,1.0
2019-01-01 11:00:00,73.0,26.34,28.81,849.94,2.51,4.24,130.13,97.28,0.0,1.0
2019-01-01 12:00:00,73.0,23.93,29.82,848.96,2.96,4.9,121.73,99.8,0.0,1.0
2019-01-01 13:00:00,73.0,21.03,30.2,848.06,2.73,4.68,131.3,116.68,0.0,1.0
2019-01-01 14:00:00,73.0,20.82,30.45,847.54,2.58,4.85,130.0,141.57,0.0,1.0
2019-01-01 15:00:00,73.0,21.56,30.16,847.42,2.4,4.47,93.1,113.55,0.0,1.0
2019-01-01 16:00:00,73.0,23.59,29.6,847.62,3.36,5.55,58.1,54.97,0.0,1.0
2019-01-01 17:00:00,73.0,39.02,27.17,848.21,3.78,6.62,96.22,97.97,0.0,1.0
2019-01-01 18:00:00,73.0,53.83,24.48,849.18,3.72,5.84,60.88,98.27,0.0,1.0
2019-01-01 19:00:00,73.0,61.65,22.87,850.45,1.16,2.21,130.32,114.4,0.0,1.0
2019-01-01 20:00:00,73.0,67.11,21.72,851.54,1.63,2.59,66.67,63.52,0.0,1.0
2019-01-01 21:00:00,73.0,71.06,20.63,852.12,0.72,1.35,159.97,170.85,0.0,1.0
2019-01-01 22:00:00,73.0,74.24,19.86,852.27,0.83,1.28,172.55,181.73,0.0,1.0
2019-01-01 23:00:00,73.0,77.08,19.25,852.14,0.9,1.35,100.7,108.52,0.0,1.0
2019-01-02 00:00:00,73.0,78.35,18.5,851.55,0.48,0.68,175.6,165.25,0.0,1.0
2019-01-02 01:00:00,73.0,76.96,17.69,850.81,0.54,0.85,121.75,120.07,0.0,1.0
2019-01-02 02:00:00,73.0,77.25,17.57,850.48,1.08,1.57,71.53,67.7,0.0,1.0
2019-01-02 03:00:00,73.0,75.7,17.26,850.46,0.97,1.34,67.22,76.97,0.0,1.0
2019-01-02 04:00:00,73.0,77.21,16.46,850.79,0.55,0.84,160.48,165.6,0.0,1.0
2019-01-02 05:00:00,73.0,77.8,16.08,851.33,0.76,1.12,118.18,121.4,0.0,1.0
2019-01-02 06:00:00,73.0,78.47,15.84,852.12,0.74,1.02,89.25,95.37,0.0,1.0
2019-01-02 07:00:00,73.0,75.31,16.74,852.87,0.92,1.3,94.17,94.08,0.0,1.0
2019-01-02 08:00:00,73.0,59.23,20.26,853.09,1.36,1.95,108.37,113.13,0.0,1.0
2019-01-02 09:00:00,73.0,47.2,23.0,852.76,2.83,3.93,43.13,51.03,0.0,1.0
2019-01-02 10:00:00,73.0,40.87,24.98,851.98,2.71,4.14,58.07,54.38,0.0,1.0
2019-01-02 11:00:00,73.0,34.59,26.78,850.96,3.48,5.39,31.12,72.83,0.0,1.0
2019-01-02 12:00:00,73.0,28.47,28.3,849.93,3.95,5.91,57.72,87.9,0.0,1.0
2019-01-02 13:00:00,73.0,24.55,29.24,848.8,3.7,5.91,94.63,77.43,0.0,1.0
2019-01-02 14:00:00,73.0,22.06,29.73,848.04,4.27,6.85,121.08,63.97,0.0,1.0
2019-01-02 15:00:00,73.0,20.17,29.67,847.86,3.83,6.32,58.18,77.13,0.0,1.0
2019-01-02 16:00:00,73.0,21.86,28.95,848.33,2.21,3.87,79.78,90.52,0.0,1.0
2019-01-02 17:00:00,73.0,23.79,27.65,848.87,1.41,2.53,83.33,78.9,0.0,1.0
2019-01-02 18:00:00,73.0,31.75,24.94,849.86,1.24,2.09,96.07,104.5,0.0,1.0
2019-01-02 19:00:00,73.0,48.72,22.39,851.14,0.67,1.44,168.62,136.38,0.0,1.0
2019-01-02 20:00:00,73.0,58.69,21.12,852.22,1.55,2.36,99.47,98.27,0.0,1.0
2019-01-02 21:00:00,73.0,61.52,20.54,852.48,1.16,1.76,89.52,82.13,0.0,1.0
2019-01-02 22:00:00,73.0,66.04,19.53,852.66,1.17,1.66,105.72,105.45,0.0,1.0
2019-01-02 23:00:00,73.0,65.53,18.92,852.58,0.82,1.25,132.58,128.77,0.0,1.0
2019-01-03 00:00:00,73.0,67.75,18.21,852.31,0.76,1.13,127.58,123.95,0.0,1.0
2019-01-03 01:00:00,73.0,65.26,18.09,851.78,1.1,1.66,94.43,92.0,0.0,1.0
2019-01-03 02:00:00,73.0,66.56,17.58,851.62,0.77,1.17,172.77,165.15,0.0,1.0
2019-01-03 03:00:00,73.0,68.89,16.75,851.81,0.8,1.18,141.2,141.42,0.0,1.0
2019-01-03 04:00:00,73.0,68.89,16.57,852.2,0.71,1.06,129.53,116.72,0.0,1.0
2019-01-03 05:00:00,73.0,71.34,16.06,852.78,0.81,1.14,102.2,90.48,0.0,1.0
2019-01-03 06:00:00,73.0,71.84,15.82,853.53,0.49,0.78,122.28,119.92,0.0,1.0
2019-01-03 07:00:00,73.0,65.7,17.12,854.38,1.16,1.58,125.48,125.08,0.0,1.0
2019-01-03 08:00:00,73.0,54.65,20.46,854.55,1.5,2.06,92.8,93.22,0.0,1.0
2019-01-03 09:00:00,73.0,41.95,23.4,854.13,2.84,4.04,59.77,44.75,0.0,1.0
2019-01-03 10:00:00,73.0,32.0,26.16,853.48,2.14,3.42,112.98,96.8,0.0,1.0
2019-01-03 11:00:00,73.0,27.3,27.76,852.62,2.91,4.92,123.92,129.72,0.0,1.0
2019-01-03 12:00:00,73.0,26.04,28.31,851.94,3.04,5.16,111.78,101.08,0.0,1.0
2019-01-03 13:00:00,73.0,25.94,28.7,851.25,2.15,3.95,161.2,163.0,0.0,1.0
2019-01-03 14:00:00,73.0,25.55,28.54,850.54,2.48,4.36,120.87,120.22,0.0,1.0
2019-01-03 15:00:00,73.0,24.92,28.74,850.26,1.97,3.59,137.13,128.73,0.0,1.0
2019-01-03 16:00:00,73.0,27.58,28.04,850.52,1.87,3.43,75.32,80.7,0.0,1.0
2019-01-03 17:00:00,73.0,30.26,27.03,851.14,2.49,3.98,75.47,88.63,0.0,1.0
2019-01-03 18:00:00,73.0,34.49,25.31,852.0,2.04,2.74,91.08,99.88,0.0,1.0
2019-01-03 19:00:00,73.0,40.33,23.63,852.63,1.33,1.97,138.07,139.52,0.0,1.0
2019-01-03 20:00:00,73.0,47.72,21.48,853.29,1.12,1.7,103.33,101.03,0.0,1.0
2019-01-03 21:00:00,73.0,50.0,20.87,853.91,2.05,2.93,71.52,68.1,0.0,1.0
2019-01-03 22:00:00,73.0,56.02,19.88,854.35,2.46,3.38,68.57,65.07,0.0,1.0
2019-01-03 23:00:00,73.0,61.04,19.14,854.6,1.89,2.57,78.48,76.25,0.0,1.0
2019-01-04 00:00:00,73.0,62.53,18.87,854.44,2.02,2.72,100.63,100.42,0.0,1.0
2019-01-04 01:00:00,73.0,63.01,18.98,853.99,1.4,1.83,84.32,81.87,0.0,1.0
2019-01-04 02:00:00,73.0,65.67,18.61,853.67,1.06,1.47,109.25,107.8,0.0,1.0
2019-01-04 03:00:00,73.0,72.06,17.45,853.59,0.74,1.07,128.15,132.6,0.0,1.0
2019-01-04 04:00:00,73.0,76.32,16.61,853.73,0.54,0.77,148.0,143.72,0.0,1.0
